Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
0,35.2,-0.1723790773305374,H27-07,933,demo,L,F,1
1,35.2,-0.4921251884060956,H27-07,933,demo,L,F,1
2,35.2,-0.7444968103321643,H27-07,933,demo,L,F,1
3,35.2,-0.5090317653299958,H27-07,933,demo,L,F,1
-3,37.1,-0.43628682056741064,H27-07,933,demo,L,F,1
-2,37.1,-0.11092954819742364,H27-07,933,demo,L,F,1
-1,37.1,-0.03902736746792871,H27-07,933,demo,L,F,1
0,37.1,-0.08029672975992934,H27-07,933,demo,L,F,1
1,37.1,-0.43001201958991214,H27-07,933,demo,L,F,1
2,37.1,-0.6935005913023382,H27-07,933,demo,L,F,1
3,37.1,-0.42950992060402793,H27-07,933,demo,L,F,1
-3,39.0,-0.3257771465696856,H27-07,933,demo,L,F,1
-2,39.0,0.11248031766646159,H27-07,933,demo,L,F,1
-1,39.0,0.0637705115758078,H27-07,933,demo,L,F,1
0,39.0,0.01641291108269111,H27-07,933,demo,L,F,1
1,39.0,-0.3520650806336903,H27-07,933,demo,L,F,1
2,39.0,-0.6808138917931043,H27-07,933,demo,L,F,1
3,39.0,-0.34589191704839156,H27-07,933,demo,L,F,1
