Lag,variable,value,ID,age,exp,sex,trial_num
-3,24.22,0.24999999999999994,H27-14,957,indivi,M,1
-2,24.22,0.24999999999999997,H27-14,957,indivi,M,1
-1,24.22,0.24999999999999994,H27-14,957,indivi,M,1
0,24.22,0.24999999999999997,H27-14,957,indivi,M,1
1,24.22,-0.06767252048844023,H27-14,957,indivi,M,1
2,24.22,-0.23252041618885141,H27-14,957,indivi,M,1
3,24.22,0.13347869541883978,H27-14,957,indivi,M,1
-3,25.51,0.25,H27-14,957,indivi,M,1
-2,25.51,0.24999999999999994,H27-14,957,indivi,M,1
-1,25.51,0.24999999999999997,H27-14,957,indivi,M,1
0,25.51,0.10220412149836954,H27-14,957,indivi,M,1
1,25.51,-0.37474844549402153,H27-14,957,indivi,M,1
2,25.51,-0.4372708419968583,H27-14,957,indivi,M,1
3,25.51,-0.07858142836026893,H27-14,957,indivi,M,1
-3,26.8,0.24999999999999994,H27-14,957,indivi,M,1
-2,26.8,0.24999999999999997,H27-14,957,indivi,M,1
-1,26.8,0.10220412149836954,H27-14,957,indivi,M,1
0,26.8,0.011707322644771182,H27-14,957,indivi,M,1
1,26.8,-0.39804896992221983,H27-14,957,indivi,M,1
2,26.8,-0.8078052624892109,H27-14,957,indivi,M,1
3,26.8,-0.22632342501080016,H27-14,957,indivi,M,1
-3,28.09,0.23281009858985943,H27-14,957,indivi,M,1
-2,28.09,0.6519597539037154,H27-14,957,indivi,M,1
-1,28.09,0.4892421375778684,H27-14,957,indivi,M,1
0,28.09,0.010902331756609897,H27-14,957,indivi,M,1
1,28.09,-0.39804896992221983,H27-14,957,indivi,M,1
2,28.09,-0.8078052624892109,H27-14,957,indivi,M,1
3,28.09,-0.39804896992221983,H27-14,957,indivi,M,1
-3,29.38,0.5450886479913042,H27-14,957,indivi,M,1
-2,29.38,0.7726832945548975,H27-14,957,indivi,M,1
-1,29.38,0.3921953085998342,H27-14,957,indivi,M,1
0,29.38,0.011707322644771166,H27-14,957,indivi,M,1
1,29.38,-0.23712571570626492,H27-14,957,indivi,M,1
2,29.38,-0.8078052624892109,H27-14,957,indivi,M,1
3,29.38,-0.39804896992221983,H27-14,957,indivi,M,1
-3,30.67,0.6752605926590926,H27-14,957,indivi,M,1
-2,30.67,0.6877122064244374,H27-14,957,indivi,M,1
-1,30.67,0.35151863476012335,H27-14,957,indivi,M,1
0,30.67,-0.10895856204303059,H27-14,957,indivi,M,1
1,30.67,-0.08323704984267943,H27-14,957,indivi,M,1
2,30.67,-0.3714198274538955,H27-14,957,indivi,M,1
3,30.67,-0.5687865072583094,H27-14,957,indivi,M,1
-3,31.96,0.6402623414869711,H27-14,957,indivi,M,1
-2,31.96,0.6519821534263273,H27-14,957,indivi,M,1
-1,31.96,0.2390810828751863,H27-14,957,indivi,M,1
0,31.96,-0.40812723115732447,H27-14,957,indivi,M,1
1,31.96,-0.3272537957825439,H27-14,957,indivi,M,1
2,31.96,-0.24999999999999997,H27-14,957,indivi,M,1
3,31.96,-0.23281009858985946,H27-14,957,indivi,M,1
-3,33.25,0.6402623414869711,H27-14,957,indivi,M,1
-2,33.25,0.6140473924783606,H27-14,957,indivi,M,1
